regularity ,Present,Past,Past Participle
irregular ,read,read,read
irregular ,find,found,found
irregular ,do,did,done
irregular ,have,had,had
irregular ,set,set,set
irregular ,stick,stuck,stuck
irregular ,have,had,had
irregular ,go,went,gone
irregular ,think,thought,thought
regular ,influence,influenced,influenced
regular ,dream,dreamed,dreamed
regular ,help,helped,helped
regular ,found,founded,founded
irregular ,do,did,done
regular ,believe,believed,believed
regular ,want,wanted,wanted
regular ,earn,earned,earned
regular ,want,wanted,wanted
regular ,follow,followed,followed
irregular ,lost,lost,lost
irregular ,overcame,overcame,overcome
regular ,creat,created,created
regular ,try,tried,tried
regular ,laugh,laughed,laughed
regular ,motivate,motivated,motivated
irregular ,make,made,made
