Word,Frequency
the,13
of,6
that,6
a,5
and,5
in,4
i,3
to,3
told,3
it,3
for,3
think,2
has,2
book,2
many,2
now,2
children,2
reading,2
about,2
small,2
me,2
young,2
both,2
woman,2
people,2
her,2
who,2
story,2
time,2
history,1
denmark,1
much,1
teach,1
us,1
all,1
been,1
published,1
countries,1
translated,1
into,1
countless,1
different,1
languages,1
from,1
hungarian,1
hebrew,1
everywhere,1
are,1
still,1
integrity,1
scandinavian,1
population,1
showed,1
almost,1
seventy,1
years,1
ago,1
books,1
do,1
change,1
lives,1
know,1
readers,1
have,1
number,1
stars,1
changed,1
theirs,1
when,1
they,1
were,1
made,1
them,1
cruelty,1
courage,1
recently,1
was,1
something,1
shaped,1
my,1
idea,1
how,1
should,1
be,1
treated,1
recalling,1
own,1
fourth,1
grade,1
experience,1
with,1
danish,1
friend,1
originally,1
childhood,1
copenhagen,1
1943,1
became,1
prototype,1
fictional,1
annemarie,1
is,1
an,1
old,1
so,1
am,1
we,1
love,1
thinking,1
today,1
coming,1
first,1
realizing,1
once,1
brief,1
place,1
group,1
prejudice,1
free,1
honored,1
humanity,1
others,1
